,text,category,noun,Nletters,frequency,synsets,labels
0,cockadoodledoo,sounds,0,14,1,1,1
1,grrr,sounds,0,4,710,1,0
2,meow,sounds,0,4,2889,2,0
3,ouch,sounds,0,4,11779,1,0
4,vroom,sounds,0,5,700,2,0
5,alligator,animals,1,9,1923,3,1
6,animal,animals,1,6,38036,2,1
7,ant,animals,1,3,3888,1,1
8,bear,animals,1,4,48674,15,0
9,bird,animals,1,4,37711,6,0
10,bug,animals,1,3,12385,7,1
11,bunny,animals,1,5,8457,2,0
12,butterfly,animals,1,9,5975,5,1
13,cat,animals,1,3,51175,10,0
14,chicken,animals,1,7,41996,5,1
15,chicken,food_drink,1,7,41996,5,1
16,cow,animals,1,3,18392,4,0
17,deer,animals,1,4,6789,1,2
18,dog,animals,1,3,125769,8,0
19,donkey,animals,1,6,6222,2,2
20,duck,animals,1,4,16153,8,0
21,elephant,animals,1,8,9951,2,1
22,fish,animals,1,4,61813,6,0
23,fish,food_drink,1,4,61813,6,1
24,frog,animals,1,4,7160,4,1
25,giraffe,animals,1,7,1566,1,1
26,goose,animals,1,5,7019,6,2
27,hen,animals,1,3,3430,4,2
28,horse,animals,1,5,62923,6,0
29,kitty,animals,1,5,13499,4,0
30,lamb,animals,1,4,9011,6,2
31,lion,animals,1,4,14069,4,1
32,monkey,animals,1,6,20211,4,1
33,moose,animals,1,5,3298,1,2
34,mouse,animals,1,5,11619,6,1
35,owl,animals,1,3,4370,1,1
36,pig,animals,1,3,26989,9,0
37,pony,animals,1,4,5698,5,2
38,puppy,animals,1,5,7764,2,0
39,rooster,animals,1,7,3746,1,2
40,sheep,animals,1,5,13127,3,1
41,squirrel,animals,1,8,3785,2,1
42,teddybear,animals,1,9,35,1,1
43,tiger,animals,1,5,15646,2,1
44,turkey,animals,1,6,12662,5,2
45,turtle,animals,1,6,8080,4,1
46,wolf,animals,1,4,18566,6,2
47,zebra,animals,1,5,1752,1,1
48,airplane,vehicles,1,8,6520,1,0
49,bicycle,vehicles,1,7,5880,2,1
50,boat,vehicles,1,4,62148,3,0
51,bus,vehicles,1,3,47534,7,0
52,firetruck,vehicles,1,9,39,1,1
53,helicopter,vehicles,1,10,10980,1,1
54,motorcycle,vehicles,1,10,7221,2,1
55,stroller,vehicles,1,8,801,2,1
56,tractor,vehicles,1,7,3224,2,1
57,train,vehicles,1,5,70974,17,1
58,tricycle,vehicles,1,8,422,1,2
59,truck,vehicles,1,5,48807,3,0
60,balloon,toys,1,7,6642,4,0
61,bat,toys,1,3,13294,10,2
62,bubbles,toys,1,7,5217,9,0
63,chalk,toys,1,5,2655,5,2
