,text,noun,Nletters,frequency,synsets,labels
0,a,0,1,14484562,7,2.893384
1,aardvark,1,8,233,1,9.89
2,abacus,1,6,256,2,8.69
3,abalone,0,7,435,1,12.23
4,abandon,0,7,9208,7,8.32
5,abandoner,1,9,11,1,11.89
6,abandonment,1,11,721,3,10.27
7,abase,0,5,44,1,14.57
8,abate,0,5,222,2,14.44
9,abatement,1,9,44,2,15.12
10,abattoir,1,8,225,1,15.17
11,abbess,1,6,320,1,15.43
12,abbey,1,5,2776,3,13.06
13,abbot,0,5,1774,1,12.104381
14,abbreviate,0,10,51,2,9.95
15,abbreviated,0,11,104,4,10.5
16,abbreviation,1,12,174,2,9.11
17,abdicate,0,8,288,1,12.6
18,abdication,1,10,144,2,14.94
19,abdomen,1,7,2296,2,8.61
20,abdominal,0,9,1600,2,10.24
21,abduct,0,6,894,2,11.26
22,abduction,1,9,2493,2,11.94
23,abductor,1,8,335,2,11.11
24,abeam,1,5,23,1,13.4
25,aberrant,0,8,182,2,13.31
26,aberration,1,10,414,3,12.69
27,abet,0,4,84,1,12.15
28,abettor,1,7,7,1,15.55
29,abeyance,1,8,84,1,15
30,abhor,0,5,319,1,13.76
31,abhorrent,0,9,210,1,12.14
32,abide,0,5,1940,2,9.5
33,abiding,0,7,417,3,10.3
34,ability,1,9,15648,2,8.84
35,abject,0,6,427,4,14
36,abjure,0,6,89,1,14.6
37,ablation,1,8,53,2,13.29
38,ablaze,0,6,577,4,10.83
39,able,0,4,147205,4,7.79
40,ablution,1,8,66,1,13.64
41,abnormal,0,8,2374,3,10.05
42,abnormality,1,13,361,4,11.58
43,aboard,0,6,13582,4,8.66217
44,abode,1,5,1025,4,12.06
45,abolish,0,7,612,1,10.42
46,abolition,1,9,293,1,13.28
47,abolitionism,1,12,3,1,11.78
48,abolitionist,1,12,134,1,12.6
49,abominable,0,10,760,2,8.94
50,abominate,0,9,19,1,15
51,abomination,1,11,1195,3,11.17
52,aboriginal,0,10,400,5,14.75
53,aborigine,1,9,110,2,12.56
54,aborning,0,8,4,1,13.25
55,abort,0,5,2855,4,12.21
56,abortion,1,8,5040,2,13.21
57,abortionist,1,11,86,1,15
58,abortive,0,8,51,1,13.93
59,abound,0,6,335,2,11.65
60,about,0,5,2487348,8,5.070761
61,above,0,5,40388,4,4.548568
62,aboveboard,1,10,146,2,13
63,aboveground,0,11,100,1,8.05
64,abovementioned,0,14,4,1,14.24
65,abracadabra,1,11,661,1,6.89
66,abrade,0,6,13,2,14
67,abrasion,1,8,250,3,11.95
68,abrasive,0,8,334,3,12.22
69,abrasiveness,1,12,2,2,12.06
70,abreaction,1,10,6,1,15.8
71,abreast,0,7,246,2,13.06
72,abridge,1,7,18,2,14.35
73,abridged,0,8,89,3,12.56
74,abridgement,1,11,7,1,12.317521
75,abroad,0,6,8778,4,10.15415
76,abrogate,0,8,15,1,15.22
77,abrupt,0,6,798,4,10.95
78,abruption,1,9,84,1,11.82
79,abruptness,1,10,29,3,12.39
80,abscess,1,7,421,1,13.11
81,abscond,0,7,110,1,13.36
82,absconder,1,9,14,1,16.62
83,absence,1,7,6538,4,7.7
84,absent,0,6,3186,4,6.5
85,absentee,1,8,272,1,11
86,absenteeism,1,11,58,1,13.43
87,absentminded,0,12,72,1,10.84
88,absentmindedness,1,16,10,1,9.61
89,absinthe,0,8,475,2,16.29
90,absolute,0,8,10696,6,8.53
